Country,Region,Subregion,World.Bank,IMF,Year,Language,Type,Class,Drug,Listed,Any.NeuP,Central.NeuP,Peripheral.NeuP,DPN,PHN,HIV,TGN
Afghanistan,Asia,South Asia,Low,Developing,2007,English,TC,Anticonvulsant,Carbamazepine,Yes,No,No,No,No,No,No,No
Afghanistan,Asia,South Asia,Low,Developing,2007,English,TC,Anticonvulsant,Gabapentin,No,No,No,No,No,No,No,No
Afghanistan,Asia,South Asia,Low,Developing,2007,English,TC,Anticonvulsant,Oxcarbazepine,No,No,No,No,No,No,No,No
Afghanistan,Asia,South Asia,Low,Developing,2007,English,TC,Anticonvulsant,Pregabalin,No,No,No,No,No,No,No,No
Afghanistan,Asia,South Asia,Low,Developing,2007,English,TC,Anticonvulsant,Valproate,Yes,No,No,No,No,No,No,No
Afghanistan,Asia,South Asia,Low,Developing,2007,English,TC,NDRI,Bupropion,No,No,No,No,No,No,No,No
Afghanistan,Asia,South Asia,Low,Developing,2007,English,TC,Opioid,Methadone,No,No,No,No,No,No,No,No
Afghanistan,Asia,South Asia,Low,Developing,2007,English,TC,Opioid,Morphine,Yes,No,No,No,No,No,No,No
Afghanistan,Asia,South Asia,Low,Developing,2007,English,TC,Opioid,Oxycodone,No,No,No,No,No,No,No,No
Afghanistan,Asia,South Asia,Low,Developing,2007,English,TC,Opioid,Tramadol,No,No,No,No,No,No,No,No
Afghanistan,Asia,South Asia,Low,Developing,2007,English,TC,Other,Ibuprofen,Yes,No,No,No,No,No,No,No
Afghanistan,Asia,South Asia,Low,Developing,2007,English,TC,Other,Paracetamol,Yes,No,No,No,No,No,No,No
Afghanistan,Asia,South Asia,Low,Developing,2007,English,TC,SNRI,Duloxetine,No,No,No,No,No,No,No,No
Afghanistan,Asia,South Asia,Low,Developing,2007,English,TC,SNRI,Venlafaxine,No,No,No,No,No,No,No,No
Afghanistan,Asia,South Asia,Low,Developing,2007,English,TC,TCA,Amitriptyline,Yes,No,No,No,No,No,No,No
Afghanistan,Asia,South Asia,Low,Developing,2007,English,TC,TCA,Clomipramine,Yes,No,No,No,No,No,No,No
Afghanistan,Asia,South Asia,Low,Developing,2007,English,TC,TCA,Desipramine,No,No,No,No,No,No,No,No
Afghanistan,Asia,South Asia,Low,Developing,2007,English,TC,TCA,Imipramine,No,No,No,No,No,No,No,No
