measure,location,sex,age,metric,year,val,upper,lower
HALE (Healthy life expectancy),High-middle SDI,Male,<1 year,Years,2006,62.002578860354674,63.9996941758301,59.74048433113393
HALE (Healthy life expectancy),High-middle SDI,Female,<1 year,Years,2006,66.40278581506128,68.89308016720936,63.51087959216727
HALE (Healthy life expectancy),High SDI,Male,<1 year,Years,2006,66.99369490322594,69.31878843802166,64.22655520005802
HALE (Healthy life expectancy),High SDI,Female,<1 year,Years,2006,70.36863387318473,73.2515082356935,66.9478157730284
HALE (Healthy life expectancy),Low-middle SDI,Male,<1 year,Years,2006,54.485904645764464,56.47678097358557,52.33714379276859
HALE (Healthy life expectancy),Low-middle SDI,Female,<1 year,Years,2006,56.14927534723913,58.559458599235136,53.47185788521321
HALE (Healthy life expectancy),Low SDI,Male,<1 year,Years,2006,51.84132273134521,53.804083625965156,49.72657609687764
HALE (Healthy life expectancy),Low SDI,Female,<1 year,Years,2006,52.49331655113599,54.8218424850819,49.98143012488418
HALE (Healthy life expectancy),Middle SDI,Male,<1 year,Years,2006,61.78653278758837,63.649368562028066,59.65816640951097
HALE (Healthy life expectancy),Middle SDI,Female,<1 year,Years,2006,65.00459306249883,67.35206263956864,62.27153166184936
HALE (Healthy life expectancy),High-middle SDI,Male,<1 year,Years,1998,60.0169437788032,61.93754766092388,57.91493238152003
HALE (Healthy life expectancy),High-middle SDI,Female,<1 year,Years,1998,64.58612650382678,66.99074778249262,61.808631567350226
HALE (Healthy life expectancy),High SDI,Male,<1 year,Years,1998,65.43174396543654,67.63048987815878,62.78862593603266
HALE (Healthy life expectancy),High SDI,Female,<1 year,Years,1998,69.18231108057999,71.99079225628236,65.86780477479158
HALE (Healthy life expectancy),Low-middle SDI,Male,<1 year,Years,1998,52.34385007555131,54.28936472608511,50.197891227575894
HALE (Healthy life expectancy),Low-middle SDI,Female,<1 year,Years,1998,53.6379586969307,56.003510077200744,51.06717093192161
HALE (Healthy life expectancy),Low SDI,Male,<1 year,Years,1998,48.30970048538194,50.188573968426574,46.29286231612411
HALE (Healthy life expectancy),Low SDI,Female,<1 year,Years,1998,48.70401215183854,50.8816404421054,46.22588033884527
HALE (Healthy life expectancy),Middle SDI,Male,<1 year,Years,1998,59.921107189622745,61.77027030747181,57.80974799245922
HALE (Healthy life expectancy),Middle SDI,Female,<1 year,Years,1998,62.98854363106774,65.25111732600622,60.370025758064564
HALE (Healthy life expectancy),High-middle SDI,Male,<1 year,Years,2014,64.074009858824,66.17092144615577,61.67418851132191
HALE (Healthy life expectancy),High-middle SDI,Female,<1 year,Years,2014,67.87898753318666,70.48030646188799,64.87826709170564
HALE (Healthy life expectancy),High SDI,Male,<1 year,Years,2014,68.20992215334527,70.68311194031014,65.270282004953
HALE (Healthy life expectancy),High SDI,Female,<1 year,Years,2014,71.11151502882156,74.10306134749956,67.54540017301737
HALE (Healthy life expectancy),Low-middle SDI,Male,<1 year,Years,2014,56.93441466075478,59.04290135318404,54.63924461672565
HALE (Healthy life expectancy),Low-middle SDI,Female,<1 year,Years,2014,58.98685001063015,61.515792303686865,56.087620882791406
HALE (Healthy life expectancy),Low SDI,Male,<1 year,Years,2014,55.07962305107214,57.172830057092725,52.807456382142284
HALE (Healthy life expectancy),Low SDI,Female,<1 year,Years,2014,56.21547824974719,58.64944849322073,53.41428464375999
HALE (Healthy life expectancy),Middle SDI,Male,<1 year,Years,2014,63.10012382151616,65.08009041207782,60.799915260105
HALE (Healthy life expectancy),Middle SDI,Female,<1 year,Years,2014,66.37922115195946,68.8444914657938,63.502524625123385
HALE (Healthy life expectancy),High-middle SDI,Male,<1 year,Years,1992,58.99985265353098,60.9151446600871,56.92656798710424
HALE (Healthy life expectancy),High-middle SDI,Female,<1 year,Years,1992,63.36896590245689,65.69542016722865,60.682898843581384
HALE (Healthy life expectancy),High SDI,Male,<1 year,Years,1992,64.15986097932517,66.29673063904183,61.58831565070992
HALE (Healthy life expectancy),High SDI,Female,<1 year,Years,1992,68.3103010548175,71.08463275217083,65.00429920375576
HALE (Healthy life expectancy),Low-middle SDI,Male,<1 year,Years,1992,51.789681021293724,53.74508959156394,49.65964093007592
HALE (Healthy life expectancy),Low-middle SDI,Female,<1 year,Years,1992,52.77787590410156,55.10407301186551,50.195693030130606
HALE (Healthy life expectancy),Low SDI,Male,<1 year,Years,1992,46.78317257977465,48.577454713494575,44.77931495709713
HALE (Healthy life expectancy),Low SDI,Female,<1 year,Years,1992,46.92928280917521,49.09489859010624,44.50781920105151
HALE (Healthy life expectancy),Middle SDI,Male,<1 year,Years,1992,58.762974758816384,60.563721907099904,56.702025262211116
HALE (Healthy life expectancy),Middle SDI,Female,<1 year,Years,1992,61.3220660145872,63.632902816313425,58.78014803332634
HALE (Healthy life expectancy),High-middle SDI,Male,<1 year,Years,2008,62.59076007073382,64.60788294652357,60.2623969359676
HALE (Healthy life expectancy),High-middle SDI,Female,<1 year,Years,2008,66.87820610702457,69.41869900089571,63.94878926601389
HALE (Healthy life expectancy),High SDI,Male,<1 year,Years,2008,67.30569350915546,69.67917997527525,64.49917452288163
HALE (Healthy life expectancy),High SDI,Female,<1 year,Years,2008,70.55909659511744,73.48387566017631,67.09944268546337
HALE (Healthy life expectancy),Low-middle SDI,Male,<1 year,Years,2008,54.83613186803775,56.85976058282717,52.62899762588701
HALE (Healthy life expectancy),Low-middle SDI,Female,<1 year,Years,2008,56.79385339148616,59.252279489502925,54.01076360084433
HALE (Healthy life expectancy),Low SDI,Male,<1 year,Years,2008,52.527319676157724,54.51592553027143,50.41521443560196
HALE (Healthy life expectancy),Low SDI,Female,<1 year,Years,2008,53.50063916060422,55.798570270839186,50.895668620211076
HALE (Healthy life expectancy),Middle SDI,Male,<1 year,Years,2008,61.96169963398076,63.83852685057249,59.78459461908093
HALE (Healthy life expectancy),Middle SDI,Female,<1 year,Years,2008,65.3469688736601,67.73080874918632,62.565006293234084
HALE (Healthy life expectancy),High-middle SDI,Male,<1 year,Years,2000,60.18860795161211,62.10301634244085,58.045816278242405
HALE (Healthy life expectancy),High-middle SDI,Female,<1 year,Years,2000,64.93602176776237,67.33404046456864,62.11243588694271
HALE (Healthy life expectancy),High SDI,Male,<1 year,Years,2000,65.85373527023029,68.08126184646369,63.198846580736415
HALE (Healthy life expectancy),High SDI,Female,<1 year,Years,2000,69.46770986410279,72.28464741807906,66.1620673180311
HALE (Healthy life expectancy),Low-middle SDI,Male,<1 year,Years,2000,52.77507318215552,54.716737310929176,50.6435767037123
HALE (Healthy life expectancy),Low-middle SDI,Female,<1 year,Years,2000,54.14038385451715,56.504507048601205,51.61283738842336
HALE (Healthy life expectancy),Low SDI,Male,<1 year,Years,2000,49.06361890908735,50.95972463993692,46.97020436048246
HALE (Healthy life expectancy),Low SDI,Female,<1 year,Years,2000,49.45674725911224,51.65265891772268,46.92029388236439
HALE (Healthy life expectancy),Middle SDI,Male,<1 year,Years,2000,60.28401949757978,62.125340191392965,58.13787058883946
HALE (Healthy life expectancy),Middle SDI,Female,<1 year,Years,2000,63.44560066742568,65.72161305126002,60.840664399252994
HALE (Healthy life expectancy),High-middle SDI,Male,<1 year,Years,2016,64.35394640501903,66.47026547043092,61.96246927927452
HALE (Healthy life expectancy),High-middle SDI,Female,<1 year,Years,2016,68.16813708118437,70.8041966163236,65.12642608407094
HALE (Healthy life expectancy),High SDI,Male,<1 year,Years,2016,68.18959948385891,70.67276643202807,65.25635901551712
HALE (Healthy life expectancy),High SDI,Female,<1 year,Years,2016,71.11134187982583,74.10544874502759,67.53100411079095
HALE (Healthy life expectancy),Low-middle SDI,Male,<1 year,Years,2016,57.657711954747036,59.77879821563098,55.303115072199965
HALE (Healthy life expectancy),Low-middle SDI,Female,<1 year,Years,2016,59.53956384661791,62.09289861260952,56.64629526968296
HALE (Healthy life expectancy),Low SDI,Male,<1 year,Years,2016,55.811263355840424,57.95926904528993,53.44441899933471
HALE (Healthy life expectancy),Low SDI,Female,<1 year,Years,2016,56.86169139530856,59.32160949709965,54.07395612525149
HALE (Healthy life expectancy),Middle SDI,Male,<1 year,Years,2016,63.3462451652773,65.35963113888529,60.979910706285544
HALE (Healthy life expectancy),Middle SDI,Female,<1 year,Years,2016,66.71831685617435,69.21828533488282,63.82349793653812
HALE (Healthy life expectancy),High-middle SDI,Male,<1 year,Years,1990,59.04768052782311,60.99498694252786,56.910215603462184
HALE (Healthy life expectancy),High-middle SDI,Female,<1 year,Years,1990,63.10004546309467,65.49137602992853,60.410911762291185
HALE (Healthy life expectancy),High SDI,Male,<1 year,Years,1990,63.81783143298365,65.95368206734113,61.26764686947981
HALE (Healthy life expectancy),High SDI,Female,<1 year,Years,1990,67.93576059654009,70.69900925198884,64.6290298101585
HALE (Healthy life expectancy),Low-middle SDI,Male,<1 year,Years,1990,51.52365008929422,53.49911518444764,49.33224824366589
HALE (Healthy life expectancy),Low-middle SDI,Female,<1 year,Years,1990,52.58447004743279,54.9848774646566,49.99376895919678
HALE (Healthy life expectancy),Low SDI,Male,<1 year,Years,1990,46.094158932064936,47.90896215114296,44.106180635767366
HALE (Healthy life expectancy),Low SDI,Female,<1 year,Years,1990,46.38716078604932,48.527444333172795,44.01168884107936
HALE (Healthy life expectancy),Middle SDI,Male,<1 year,Years,1990,58.35580925080806,60.15938478490783,56.3155899479313
