measure,location,sex,age,metric,year,val,upper,lower
Life expectancy,High-middle SDI,Male,<1 year,Years,2015,72.65688438722226,72.94431820370698,72.36674054624103
Life expectancy,High-middle SDI,Female,<1 year,Years,2015,78.81469300902043,79.05408488663966,78.55427341584317
Life expectancy,High SDI,Male,<1 year,Years,2015,78.3947034411356,78.44055160341865,78.34639044615881
Life expectancy,High SDI,Female,<1 year,Years,2015,83.60048512613744,83.63385574525427,83.56493780678562
Life expectancy,Low-middle SDI,Male,<1 year,Years,2015,65.6174251276106,66.15153436319939,65.05090756247435
Life expectancy,Low-middle SDI,Female,<1 year,Years,2015,69.43072898408656,69.96654130928296,68.89370582941726
Life expectancy,Low SDI,Male,<1 year,Years,2015,63.64664368681186,64.23366631716904,63.02000644889215
Life expectancy,Low SDI,Female,<1 year,Years,2015,66.4284545097685,66.94001547800401,65.91259147284315
Life expectancy,Middle SDI,Male,<1 year,Years,2016,71.43359043783408,71.77962606034023,71.11407454781886
Life expectancy,Middle SDI,Female,<1 year,Years,2016,77.05059517559494,77.3313725109575,76.73846952205024
Life expectancy,High-middle SDI,Male,<1 year,Years,2007,70.4826223205386,70.65251214390119,70.32397333039971
Life expectancy,High-middle SDI,Female,<1 year,Years,2007,77.11709726495224,77.2366813849244,76.98970785344927
Life expectancy,High SDI,Male,<1 year,Years,2007,76.86579932105649,76.88650623344252,76.84462687575578
Life expectancy,High SDI,Female,<1 year,Years,2007,82.55589382608707,82.57548173218558,82.53568274250159
Life expectancy,Low-middle SDI,Male,<1 year,Years,2007,62.67447883853104,63.14116838534309,62.1828233773126
Life expectancy,Low-middle SDI,Female,<1 year,Years,2007,66.32986894181846,66.7555102760722,65.85229616767661
Life expectancy,Low SDI,Male,<1 year,Years,2007,59.882707994856545,60.28608602598858,59.45038664276369
Life expectancy,Low SDI,Female,<1 year,Years,2007,62.42097706360049,62.80812282862453,62.046831365529755
Life expectancy,High-middle SDI,Male,<1 year,Years,1998,67.65828148140285,67.85521898160694,67.46844866060222
Life expectancy,High-middle SDI,Female,<1 year,Years,1998,74.54523161047156,74.69998319786075,74.36343809773798
Life expectancy,High SDI,Male,<1 year,Years,1998,74.5319209944778,74.55730336721574,74.50462998494476
Life expectancy,High SDI,Female,<1 year,Years,1998,80.7381410929422,80.76061855942329,80.716097586786
Life expectancy,Low-middle SDI,Male,<1 year,Years,1998,59.87492256955043,60.29188550238796,59.46639460943978
Life expectancy,Low-middle SDI,Female,<1 year,Years,1998,62.96809807509725,63.391692247630644,62.54356086671231
Life expectancy,Low SDI,Male,<1 year,Years,1998,55.54574455892289,56.00815556925858,55.0728880162661
Life expectancy,Low SDI,Female,<1 year,Years,1998,57.489000777161124,57.93617948993312,56.999377934498995
Life expectancy,Middle SDI,Male,<1 year,Years,2017,71.71286362436955,72.0869906398567,71.36937775634105
Life expectancy,Middle SDI,Female,<1 year,Years,2017,77.42130596972468,77.70151674026951,77.09445459208837
Life expectancy,High-middle SDI,Male,<1 year,Years,1990,66.75422376608611,67.01358230930535,66.48304072445782
Life expectancy,High-middle SDI,Female,<1 year,Years,1990,73.1431832785598,73.37169159784783,72.91852646004997
Life expectancy,High SDI,Male,<1 year,Years,1990,72.5559675940146,72.5863649568618,72.52235834694632
Life expectancy,High SDI,Female,<1 year,Years,1990,79.29461704696861,79.31875574227786,79.27044083332976
Life expectancy,Low-middle SDI,Male,<1 year,Years,1990,58.981527302836284,59.448282706621285,58.510948168646486
Life expectancy,Low-middle SDI,Female,<1 year,Years,1990,61.920780086445724,62.334702295829885,61.47567703929392
Life expectancy,Low SDI,Male,<1 year,Years,1990,53.00415690951967,53.63162474933336,52.42942600045579
Life expectancy,Low SDI,Female,<1 year,Years,1990,54.81185934823418,55.42389599534728,54.27641072564578
Life expectancy,High-middle SDI,Male,<1 year,Years,1999,67.64294847472323,67.838064015452,67.45687672614761
Life expectancy,High-middle SDI,Female,<1 year,Years,1999,74.59958946838289,74.75754085603263,74.42590802767091
Life expectancy,High SDI,Male,<1 year,Years,1999,74.72514351729455,74.75013624325014,74.69735094877066
Life expectancy,High SDI,Female,<1 year,Years,1999,80.85821274229703,80.88022196162953,80.83666969814499
Life expectancy,Low-middle SDI,Male,<1 year,Years,1999,60.19368842090989,60.62670234422831,59.77702646614197
Life expectancy,Low-middle SDI,Female,<1 year,Years,1999,63.256131987674166,63.6846269213681,62.82686863797996
Life expectancy,Low SDI,Male,<1 year,Years,1999,55.97665437030404,56.43455550422833,55.52805385275006
Life expectancy,Low SDI,Female,<1 year,Years,1999,57.88263941359985,58.3257663891329,57.40268742898439
Life expectancy,High-middle SDI,Male,<1 year,Years,1991,66.89465138061152,67.13784124486628,66.6341333760608
Life expectancy,High-middle SDI,Female,<1 year,Years,1991,73.33756971759618,73.55104929192035,73.11464139462365
Life expectancy,High SDI,Male,<1 year,Years,1991,72.68187672779527,72.71479770513137,72.64895231368234
Life expectancy,High SDI,Female,<1 year,Years,1991,79.45155270625071,79.4767457013616,79.42557318447564
Life expectancy,Low-middle SDI,Male,<1 year,Years,1991,59.0395364415891,59.48871396401681,58.616167276373474
Life expectancy,Low-middle SDI,Female,<1 year,Years,1991,62.00283404744504,62.39877757424472,61.59413326733564
Life expectancy,Low SDI,Male,<1 year,Years,1991,52.996472028676365,53.58939893416006,52.43363676113805
